"Task Type","Task ID","Task Name","Parent ID","Parent Name","Parent URL","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Points Estimate","Points Estimate Rolled Up"
"Task","868emxjf8","Aim 2: Cell Line Generation",,"","","on hold","
","[Ianessa Morantte]","none","",0,0,"Wednesday, October 29th 2025","Wednesday, October 8th 2025","Thursday, July 3rd 2025, 2:37:37 pm -07:00","Tuesday, October 7th 2025, 2:38:00 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[868g1kf10, 868g1kf2b]","[https://app.clickup.com/t/868g1kf10, https://app.clickup.com/t/868g1kf2b]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868g1kf10","SynBio BLIMP1 work (Humira)","868emxjf8","Aim 2: Cell Line Generation","https://app.clickup.com/t/868emxjf8","to do","
","[]","none","",0,0,"","","Monday, October 20th 2025, 3:15:04 pm -07:00","Wednesday, December 10th 2025, 3:37:41 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Milestone","868g1kf2b","SynBio --&gt; BMGF BLIMP1 Handoff","868emxjf8","Aim 2: Cell Line Generation","https://app.clickup.com/t/868emxjf8","to do","
","[]","none","",0,0,"","","Monday, October 20th 2025, 3:15:15 pm -07:00","Tuesday, October 28th 2025, 8:56:42 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868emxjfb","Aim 3: Cell Line Generation",,"","","to do","Currently no plans for bioreactor production runs for Aim 3. Just shake flask PoC
","[Ianessa Morantte]","none","",0,0,"Thursday, November 20th 2025","Thursday, October 30th 2025","Thursday, July 3rd 2025, 2:37:37 pm -07:00","Monday, July 7th 2025, 11:07:04 am -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868f2dgz6","Aim 1: Process Dev",,"","","in progress","
","[]","none","",0,0,"Wednesday, December 31st 2025","Wednesday, September 3rd 2025","Tuesday, August 5th 2025, 12:40:21 pm -07:00","Wednesday, December 10th 2025, 3:14:56 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[868g56ez5, 868g56q10, 868emxju4, 868g56q6n, 868emxjuv, 868emxjyc, 868emxk0p, 868g56etm, 868gakapt]","[https://app.clickup.com/t/868g56ez5, https://app.clickup.com/t/868g56q10, https://app.clickup.com/t/868emxju4, https://app.clickup.com/t/868g56q6n, https://app.clickup.com/t/868emxjuv, https://app.clickup.com/t/868emxjyc, https://app.clickup.com/t/868emxk0p, https://app.clickup.com/t/868g56etm, https://app.clickup.com/t/868gakapt]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868epd4ne","Opto Chassis Scale-up","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","complete","
","[Sasha Howes]","none","",0,0,"Friday, August 8th 2025","Thursday, July 24th 2025","Tuesday, July 8th 2025, 11:49:23 am -07:00","Tuesday, October 28th 2025, 9:07:15 pm -07:00","Tuesday, October 28th 2025, 8:52:52 pm -07:00","Tuesday, October 28th 2025, 8:52:52 pm -07:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Milestone","868g56ez5","1:1: Receive UAS clones from John","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","
","[]","none","",0,0,"Tuesday, January 20th 2026","","Tuesday, October 28th 2025, 9:00:17 pm -07:00","Wednesday, December 10th 2025, 3:25:38 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868g56q10","TPP Run 1: Media","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","
","[]","none","",0,0,"Monday, November 3rd 2025","Monday, October 27th 2025","Tuesday, October 28th 2025, 9:07:03 pm -07:00","Tuesday, October 28th 2025, 9:08:31 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868emxju4","BRX Run 1 [CMV MP]","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","on hold","10 day run in bioreactor + 5 days of analysis (no additional analytical)
","[Sasha Howes]","none","",0,0,"Friday, November 21st 2025","Sunday, November 2nd 2025","Thursday, July 3rd 2025, 2:38:49 pm -07:00","Tuesday, October 28th 2025, 9:10:25 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868g56q6n","TPP Run 2: Feed, Induction","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","
","[]","none","",0,0,"Monday, November 24th 2025","Monday, November 10th 2025","Tuesday, October 28th 2025, 9:09:20 pm -07:00","Tuesday, October 28th 2025, 9:09:30 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868emxjuv","BRX Run 2 [UAS MP]","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","Dependent on how much comes out of opto chassis - hopefully Nessa will do Luxio screen and Sasha can do this in 1 run (likely 14 days). 

+ additional analytical: titer, hopefully intact mAb/glycoforms. 

potentially additional shake flasks, bioreactors if necessary
","[Sasha Howes]","none","",0,0,"Saturday, February 21st 2026","Tuesday, February 3rd 2026","Thursday, July 3rd 2025, 2:38:53 pm -07:00","Tuesday, October 28th 2025, 8:57:28 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868emxjyc","BRX Run 3","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","At least 1 month - likely 2x14d runs back to back
Longer than originally planned because of cell line delays
includes analytical turnaround (which is dependent on Gates Foundation)

","[Sasha Howes]","none","",0,0,"Saturday, April 4th 2026","Tuesday, March 17th 2026","Thursday, July 3rd 2025, 2:39:22 pm -07:00","Tuesday, October 28th 2025, 8:55:26 pm -07:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868emxk0p","BRX Run 4","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","14 day run + analytical time
","[Sasha Howes]","none","",0,0,"Saturday, April 25th 2026","Tuesday, April 7th 2026","Thursday, July 3rd 2025, 2:39:44 pm -07:00","Monday, November 10th 2025, 1:44:11 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868g56etm","BRX Run 5: Production run","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","
","[]","none","",0,0,"Friday, March 13th 2026","Monday, February 23rd 2026","Tuesday, October 28th 2025, 8:56:18 pm -07:00","Monday, November 10th 2025, 1:43:01 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gakapt","BRX Run 6: [optional] Production Run","868f2dgz6","Aim 1: Process Dev","https://app.clickup.com/t/868f2dgz6","to do","
","[]","none","",0,0,"Friday, March 27th 2026","Monday, March 16th 2026","Monday, November 10th 2025, 1:43:35 pm -08:00","Monday, November 10th 2025, 1:43:46 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
